Sales,Quantity,Profit,
73.94,1,28.2668,
173.94,3,38.2668,
231.98,2,67.2742,
114.46,2,28.615,
30.08,2,-5.264,
165.6,3,-6.21,
180.96,5,13.572,
1592.85,7,350.427,
11.88,2,5.346,
959.968,4,119.996,
4.672,1,0.584,
104.58,6,-80.178,
191.472,6,40.6878,
5.248,2,0.5904,
59.184,2,5.1786,
34.58,1,10.0282,
23.076,3,-10.9611,
25.92,5,9.072,
1565.88,6,407.1288,
106.05,7,49.8435,
30.828,7,-24.6624,
47.616,3,5.952,
108.784,2,10.8784,
349.95,5,118.983,
377.928,9,141.723,
15.168,2,3.792,
79.92,4,34.3656,
69.98,2,13.2962,
24.85,5,7.7035,
15.552,3,5.4432,
63.312,3,20.5764,
15.588,2,-9.8724,
54.992,14,8.9362,
89.568,2,32.4684,
315.776,8,31.5776,
52.34,2,24.5998,
4.66,2,1.3514,
254.97,3,91.7892,
181.797,1,-15.5826,
16.52,4,7.5992,
60.12,9,28.8576,
49.536,3,17.3376,
81.98,2,40.1702,
11.648,2,4.2224,
90.57,3,11.7741,
322.59,3,64.518,
29.99,1,13.1956,
371.97,3,66.9546,
316,4,31.6,
153.568,2,-5.7588,
1013.488,7,76.0116,
7.56,6,0.3024,
14.272,8,4.2816,
451.136,4,-67.6704,
64.864,4,6.4864,
109.9,5,37.366,
12.96,2,6.2208,
44.4,3,22.2,
20.65,5,9.499,
110.376,4,-20.2356,
55.176,3,15.8631,
26.336,4,9.2176,
59.99,7,21.5964,
99.98,2,42.9914,
8.04,6,2.7336,
1564.29,13,406.7154,
31.36,4,15.68,
9.21,3,2.3025,
18,5,8.28,
43.12,5,15.092,
313.722,3,-99.3453,
45.98,1,7.8166,
428.68,7,0,
39.68,2,10.3168,
17.456,2,5.8914,
305.01,9,76.2525,
50.784,2,17.7744,
26.01,9,12.2247,
435.168,4,-59.8356,
48.58,1,7.7728,
156.512,4,52.8228,
1439.968,4,143.9968,
1.728,3,-2.6784,
626.1,3,-538.446,
109.592,1,8.2194,
56.7,5,27.783,
15.552,3,5.4432,
23.36,2,11.68,
1270.99,1,635.495,
125.36,8,58.9192,
56.45,5,14.677,
1105.52,4,48.5392,
117.96,2,5.898,
4749.95,5,2799.984,
36.4,8,18.2,
18.69,7,7.1022,
73.784,2,-77.4732,
866.4,4,225.264,
14.368,2,3.9512,
90.48,2,23.5248,
93.02,2,3.7208,
80.98,1,1.6196,
348.84,9,170.9316,
9.45,5,0.189,
18.84,3,7.1592,
239.98,2,52.7956,
167.96,2,78.9412,
104.85,3,28.3095,
484.83,3,126.0558,
122.97,3,60.2553,
